cyc,conv,neg2ll,L,N,Ke_mean, Ke_med, Ke_sigma,ske_mean,ske_med,ske_sigma
64,true,757.2939031993134,0.0005027353804702582,3,1.1870679626631733,1.1969113025069231,0.017049164725541955,0.09978977549950284,0.07720992523908617,0.03914326494898218
54,true,758.3790094171205,0.003720241815479911,4,1.188356971452236,1.1814431970381736,0.029350600477382374,0.07997221527814867,0.08127039398908617,0.007624707954648533
62,true,757.7515049918585,0.0037202418154799106,3,1.1852804700064656,1.1702810950064657,0.02597967958177835,0.094693856271108,0.09466782762527468,0.00004508293703554819
59,true,759.4657138174296,0.000001271001882118661,4,1.1591487463736534,1.1890303137564657,0.05976313476562502,0.05345797410964967,0.05472687059402467,0.006293673277825773
53,true,757.1449508190433,0.0009049236848464648,4,1.2001924157881734,1.2001924157881734,0.03896951937266758,0.09220242523908617,0.08876664398908615,0.009131270393044195
70,true,758.7977585792526,0.0037202418154799106,3,1.1872242061527567,1.1697249353194235,0.033609423698365656,0.0667724382599195,0.06674640961408616,0.00011927823976844854
54,true,756.3142935205661,0.00041894615039188185,4,1.1899677746939659,1.1815306262564658,0.025684832989075042,0.10975793504714967,0.09978245653152468,0.03079823776165125
55,true,757.7623997180741,0.00026958274025216743,6,1.193405131464799,1.1894990442252158,0.022883778006070048,0.12313015184402466,0.12426239793777469,0.004317735771187117
95,true,757.3662281893692,0.015625015625015625,4,1.1753199475455283,1.1836399133658406,0.028481885377945163,0.11770317918777469,0.11286185106277469,0.023375752829308292
52,true,761.2325851866834,0.02752978943455134,3,1.1887178267772993,1.1740309387564658,0.03915325928479743,0.09177864793777468,0.07475591356277467,0.0374587935657192
62,true,757.4821401252152,0.0062085721997468864,7,1.1820663182207516,1.177780782506466,0.021342131898730403,0.0989848644556318,0.09849403856277467,0.001611495424305532
47,true,758.9043999540041,0.0021629883198769156,4,1.1896162268424033,1.1740309387564658,0.03148383854342663,0.12410622606277467,0.14034810106277468,0.032905479535535444
59,true,759.4203115793861,0.0000633939424461299,5,1.198123684850216,1.1744996692252159,0.03277696465912758,0.07470125340652467,0.07475591356277467,0.0001450381916655932
40,true,762.1130452367316,0.0025210429885120273,3,1.2064421553715068,1.1964425720381737,0.04582384754301896,0.013804143989086151,0.01005601898908615,0.006491942933119102
56,true,758.5106574637329,0.006696435267863839,5,1.1891303767256733,1.1673812829756733,0.030639344323520532,0.10548484320783617,0.10500851898908618,0.0007062353965667283
41,true,758.4766476715221,0.0000000254514292376731,3,1.1843430090689655,1.1740309387564658,0.01786102971247247,0.10307508022944134,0.10474091356277468,0.007633807345180608
53,true,757.2671198207842,0.009672628720247768,3,1.1876929366215068,1.1664438220381734,0.036804546074186234,0.11202323904116951,0.10625789398908617,0.021913379966326262
54,true,759.7381086863862,0.00026958274025216743,5,1.1804119900069234,1.1659750915694234,0.034132784088829485,0.06701971039533618,0.06627789398908616,0.0016806626272192133
71,true,758.6547463284348,0.004464290178575893,6,1.1844118233402567,1.1683187439131735,0.02717289458288274,0.0728631413849195,0.07432074555158617,0.009809491833812722
70,true,756.7325498070923,0.004634644685951404,2,1.1789526086783408,1.1789526086783408,0.011600487255065683,0.11163199754714967,0.11163199754714967,0.022997087451329286
61,true,758.1264714959543,0.007170900890707654,4,1.1873897571158407,1.1744996692252156,0.02866418719669673,0.11582911668777468,0.11582911668777468,0.024344785999196622
58,true,758.5727228045445,0.00014455886071493035,6,1.1748809704756735,1.1664438220381734,0.01623729973861158,0.12032637706200285,0.12616980805158617,0.01427563142855581
50,true,756.8501172773733,0.004092265997027902,6,1.184030522089799,1.1740309387564658,0.015491287887605223,0.12473742072423304,0.13462830614089968,0.02437132559169188
51,true,759.1983799912715,0.015625015625015625,3,1.2255038611006734,1.2531589587569234,0.05118184729555367,0.07294122732241949,0.07627289398908617,0.005770615940550311
57,true,759.465663724979,0.0015996618010439409,5,1.1947551423506733,1.1959738415694234,0.02824971300659435,0.07464870648908617,0.06627789398908616,0.02205664437757318
38,true,759.4570167118924,0.00026958274025216743,4,1.2077795325064657,1.2190290637564658,0.022499062500000094,0.07577103075027466,0.07600528856277466,0.01200358068009181
51,true,757.903230814596,0.002170141059029948,3,1.184030522089799,1.1740309387564658,0.017319786387852327,0.09568294481277469,0.08974841356277469,0.036439955431244085
51,true,759.3280034392119,0.0036295042102243032,3,1.1838742786002154,1.2035609582877156,0.03450505788143485,0.05976341356277467,0.05976341356277467,0
88,true,757.6177298010961,0.00032445855708005495,2,1.1926927282881734,1.1926927282881734,0.037121559216209875,0.09548203461408616,0.09548203461408616,0.04130089174932609
53,true,759.5547084740624,0.000008673833341446828,5,1.1955051111006734,1.1753497009444234,0.05129440686695706,0.07026808539533616,0.06627789398908616,0.008944223495749503
53,true,757.7163376879913,0.0013071119892226713,3,1.1902802616731325,1.2040296887564657,0.027127037677429196,0.10474091356277467,0.10224216356277467,0.011450711017770917
73,true,757.2598493952927,0.0032995492820220938,4,1.1890303137564657,1.1852804700064659,0.010606159776059946,0.08943606981277467,0.08935798387527467,0.00015617187500000077
59,true,758.121645869956,0.00004603803850460239,7,1.1968443410113878,1.1964425720381735,0.029570204515707365,0.10518142356497903,0.10500851898908618,0.001503003381101984
