fke0,kcp,fkpc,fvol0,svol,prob
0.04516702280020714,0.00852510410547256,0.461452445983887,0.9148393280506136,0.0001,0.1164701039571177
0.04594826889395714,0.04884273105859756,0.12348369598388673,1.0146772186756134,0.0001,0.11043374376554004
0.04594826889395714,0.06182637363672256,0.7806711959838869,0.5442289764881134,0.0001,0.07136558643702424
0.06400264010083674,3.4274354786872867,0.6157757949829102,0.23899413287639615,0.0001,0.06464007746062891
0.03671686687767505,0.6830692465901373,0.5629594039916992,0.13416667437553406,0.0001,0.06204816359580774
0.05309316114783286,0.01467216417193412,0.22531829833984365,4.1917391846179965,0.0001,0.05201546792477496
0.05775267135083675,3.4493026661872865,0.6331195449829102,0.23899413287639615,0.0001,0.05097330915991703
0.02565520610654354,0.1415490488409996,0.5129239082336428,0.4183087249994278,0.0001,0.04413441306092491
0.03364364291739463,0.02424214512109756,0.7545774459838871,0.5790209686756135,0.0001,0.04391999201744197
0.04594826889395714,0.03517573887109757,0.792546195983887,0.5427162811756134,0.0001,0.04004680007660941
0.05830937594950199,0.09421916380524636,0.6542045783996583,0.43002915918827056,0.0001,0.03776483838762862
0.02718956504237652,0.5121690314710139,0.5458211517333985,0.16059674096107482,0.0001,0.03746387343432748
0.02445358247601986,3.4917090473175048,0.8940399360656739,0.372486909031868,0.0001,0.03683654756083043
0.04594826889395714,0.14451167637109755,0.713952445983887,0.5306147186756134,0.0001,0.02857196345793494
0.02585051762998104,0.1244653086066246,0.5787051582336428,0.4576388031244278,0.0001,0.02423976354670351
0.02689426126682758,0.778700654387474,0.1151218032836914,0.06397665166854857,0.0001,0.02383840427222993
0.02565520610654354,0.1374489511847496,0.5929239082336427,0.42133411562442774,0.0001,0.02240266153379417
0.08456120449042322,0.01012645450234413,0.2224513626098631,1.569329704523086,0.0001,0.02234840942814575
0.02777549961268902,3.2346338752210135,0.4487899017333984,0.16513482689857484,0.0001,0.01925838327691394
0.06209544405519962,3.3721442203521725,0.8490847206115721,1.4566542158126832,0.0001,0.01904044608355574
0.06749011427104473,3.4332505402863025,0.7680529975891114,0.17561585545539857,0.0001,0.01408930950031654
0.0066374379222393,0.9254099429845806,0.18476264953613164,0.03799714374542228,0.0001,0.01286998769669125
0.00652976863026618,2.562126518309116,0.3027907943725586,2.80870468378067,0.0001,0.01181686877617183
0.00292179831266403,1.1553996290564537,0.1027286720275879,0.3737975915670395,0.0001,0.01114636325181795
0.11554597578954696,0.05929542753100395,0.23683263778686509,1.2439129719734188,0.0001,0.00778654676351284
0.03821100480031966,0.0403578345477581,0.8977742767333984,0.6440087007284164,0.0001,0.00759909261204985
0.00882882749319076,1.4801990684270856,0.1689342498779297,1.317267799973488,0.0001,0.00687888296158813
